"INPUT","FOUND_BY","DTXSID","PREFERRED_NAME","ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED","BIOCONCENTRATION_FACTOR_OPERA_PRED","BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED","BOILING_POINT_DEGC_OPERA_PRED","HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED","OPERA_KM_DAYS_OPERA_PRED","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","MELTING_POINT_DEGC_OPERA_PRED","OPERA_PKAA_OPERA_PRED","OPERA_PKAB_OPERA_PRED","VAPOR_PRESSURE_MMHG_OPERA_PRED","WATER_SOLUBILITY_MOL/L_OPERA_PRED"
"YPJUNDFVDDCYIH-UHFFFAOYSA-N","InChIKey","DTXSID4059916","Perfluorobutanoic acid","8.6957E-13","5.48746","4.46041","120.996","0.0000500691","0.071815","3.45889","88.8749","1.43188","-17.8808","N/A","N/A","33.6124","0.00208527"
"CXZGQIAOTKWCDB-UHFFFAOYSA-N","InChIKey","DTXSID6062599","Perfluoropentanoic acid","8.66077E-13","5.4828","4.46524","143.412","2.9693E-10","0.0811896","3.75908","95.8758","1.35304","11.572","N/A","N/A","6.62374","0.000455149"
"PXUULQAPEKKVAH-UHFFFAOYSA-N","InChIKey","DTXSID3031862","Perfluorohexanoic acid","8.59366E-13","5.47264","4.46951","168.392","2.35462E-10","0.345396","3.82725","1066.8","2.85045","11.7561","N/A","N/A","0.903417","0.0000910797"
"ZWBAMYVPMDSJGQ-UHFFFAOYSA-N","InChIKey","DTXSID1037303","Perfluoroheptanoic acid","8.52711E-13","4.98124","4.46934","176.997","2.0945E-10","0.635419","4.0867","2112.45","2.05938","35.2578","N/A","N/A","0.0667766","0.319425"
"SNGREZUHAYWORS-UHFFFAOYSA-N","InChIKey","DTXSID8031865","Perfluorooctanoic acid","8.46614E-13","4.96385","4.94317","188.994","1.91692E-10","1.34452","4.15594","1668.68","3.10642","54.2153","3.8","N/A","0.11083","0.0332134"
"UZUFPBIDKMEQEQ-UHFFFAOYSA-N","InChIKey","DTXSID8031863","Perfluorononanoic acid","8.41134E-13","4.95048","4.9418","189.966","1.17903E-9","2.5965","4.19974","2832.61","3.53773","68.5126","N/A","N/A","0.00843675","0.00282096"
"PCIUEQPBYFRTEM-UHFFFAOYSA-N","InChIKey","DTXSID3031860","Perfluorodecanoic acid","8.36233E-13","29.8483","4.94078","204.748","1.49977E-10","2.8076","4.28187","397.147","4.15089","89.9515","N/A","N/A","0.00146458","0.00225044"
"SIDINRCMMRKXGQ-UHFFFAOYSA-N","InChIKey","DTXSID8047553","Perfluoroundecanoic acid","8.31855E-13","33.7745","4.94024","218.297","3.33629E-10","2.93421","4.69615","16613.8","4.00255","98.5183","N/A","N/A","0.000647724","0.000164074"
"CXGONMQFMIYUJR-UHFFFAOYSA-N","InChIKey","DTXSID8031861","Perfluorododecanoic acid","8.2794E-13","83.8207","5.46506","248.972","3.40388E-10","2.98326","4.75147","85440.8","5.24114","110.517","N/A","N/A","0.0000474767","0.000135296"
"LVDGGZAZAYHXEY-UHFFFAOYSA-N","InChIKey","DTXSID90868151","Perfluorotridecanoic acid","8.24435E-13","86.3414","5.46247","223.895","3.47635E-10","2.98203","4.96314","184386","5.35196","118.637","N/A","N/A","0.000660493","0.0000428753"
